id,name,level,image,actif,passif
58,Gelée Royale Bleuet,60,https://api.dofusdb.fr/img/monsters/20.png,,
85,Gelée Royale Menthe,60,https://api.dofusdb.fr/img/monsters/38.png,,
86,Gelée Royale Fraise,60,https://api.dofusdb.fr/img/monsters/39.png,,
107,Hell Mina,150,https://api.dofusdb.fr/img/monsters/55.png,,"Invulnérable 🛡️ | Un élément apparait sur vos personnages. Il faut faire un sort dans cet élément pour déclencher un état sur Hell Mina. Passé l'état V, celle-ci passe vulnérable."
113,Dragon Cochon,100,https://api.dofusdb.fr/img/monsters/60.png,,
121,Minotoror,120,https://api.dofusdb.fr/img/monsters/67.png,,
147,Bouftou Royal,30,https://api.dofusdb.fr/img/monsters/74.png,"Soigne en priorité ses alliés si ces derniers ont subi des dommages, 2 fois par tour.",
173,Abraknyde Ancestral,90,https://api.dofusdb.fr/img/monsters/97.png,Se soigne du 2000 quand il aura perdu un certain nombre de HP.,
180,Wa Wabbit,60,https://api.dofusdb.fr/img/monsters/101.png,Réduit les statistiques des personnages du combat.,
226,Moon,100,https://api.dofusdb.fr/img/monsters/123.png,,Invoque unDarkli Moonqui invoque un Totem de chaque élément à chaque tour. | Le Moon réduit ses résistances d'un élément lorsqu'un Totem est placé sur la case associé à sa couleur.
230,Le Chouque,90,https://api.dofusdb.fr/img/monsters/126.png,Échange de place avec les entités du terrain | OS en mêlée les personnages avec moins de 30% de HP.,
232,Meulou,100,https://api.dofusdb.fr/img/monsters/128.png,,Invulnérable 🛡️ | Passe vulnérable lorsqu'un dégât lui a été infligé.
252,Coffre des Forgerons,50,https://api.dofusdb.fr/img/monsters/98.png,,
257,Chêne Mou,140,https://api.dofusdb.fr/img/monsters/147.png,,
289,Maître Corbac,110,https://api.dofusdb.fr/img/monsters/177.png,,
382,Tofu Royal,120,https://api.dofusdb.fr/img/monsters/204.png,,
423,Kralamoure Géant,640,https://api.dofusdb.fr/img/monsters/227.png,,
430,Gelée Royale Citron,60,https://api.dofusdb.fr/img/monsters/232.png,,
446,Aermyne 'Braco' Scalptaras,80,https://api.dofusdb.fr/img/monsters/240.png,,Gagne PA/PM quand on tente de lui en retirer.
457,Shin Larve,50,https://api.dofusdb.fr/img/monsters/248.png,,
459,Padgref Demoël,130,https://api.dofusdb.fr/img/monsters/249.png,,
460,Frakacia Leukocytine,30,https://api.dofusdb.fr/img/monsters/250.png,,
462,Ogivol Scalarcin,50,https://api.dofusdb.fr/img/monsters/252.png,,
463,Fouduglen l'Écureuil,20,https://api.dofusdb.fr/img/monsters/206.png,,Passe Invisible
464,Brumen Tinctorias,60,https://api.dofusdb.fr/img/monsters/253.png,,
478,Bworker,180,https://api.dofusdb.fr/img/monsters/264.png,,
481,Qil Bil,70,https://api.dofusdb.fr/img/monsters/266.png,,
550,Rok Gnorok,90,https://api.dofusdb.fr/img/monsters/268.png,,
552,Musha L'Oni,80,https://api.dofusdb.fr/img/monsters/141.png,,
554,Marzwel le Gobelin,60,https://api.dofusdb.fr/img/monsters/99.png,,
555,Zatoïshwan,150,https://api.dofusdb.fr/img/monsters/294.png,,
669,Craqueleur Légendaire,70,https://api.dofusdb.fr/img/monsters/183.png,,
670,Koulosse,100,https://api.dofusdb.fr/img/monsters/358.png,,
780,Skeunk,120,https://api.dofusdb.fr/img/monsters/431.png,,
792,Bworkette,50,https://api.dofusdb.fr/img/monsters/265.png,,
797,Scarabosse Doré,40,https://api.dofusdb.fr/img/monsters/443.png,,
799,Tournesol Affamé,20,https://api.dofusdb.fr/img/monsters/445.png,Inflige des dommages de type vol de vie en mêlée.,
800,Batofu,40,https://api.dofusdb.fr/img/monsters/446.png,,
827,Minotot,160,https://api.dofusdb.fr/img/monsters/459.png,,
854,Crocabulia,120,https://api.dofusdb.fr/img/monsters/479.png,,
872,Papa Nowel,110,https://api.dofusdb.fr/img/monsters/487.png,Attire de3 casesen lignes. | OSen mêlée.,
928,Mob l'Éponge,20,https://api.dofusdb.fr/img/monsters/513.png,,
939,Rat Noir,110,https://api.dofusdb.fr/img/monsters/519.png,LanceKackituà 1 PO : OS au premier dégât pris en mêlée | LanceKackisoigneà 8 PO sur un monstre: Recons en cas de dommage Neutre ou Terre subi | LancePeste Noire: Occasionnent 50% des HP d'un personnage si celui-ci est soigné.,
940,Rat Blanc,110,https://api.dofusdb.fr/img/monsters/520.png,,
943,Sphincter Cell,150,https://api.dofusdb.fr/img/monsters/523.png,,
1027,Corailleur Magistral,50,https://api.dofusdb.fr/img/monsters/563.png,,
1045,Kimbo,160,https://api.dofusdb.fr/img/monsters/569.png,,Infligez des dégâts au Kimbo dans les éléments FEU/AIR ou EAU/TERRE pour déclencher un Glyphe. | Le Kimbo perd 400% Résistance si il commence son tour dans le Glyphe. Ce Glyphe OS les personnages qui commencent leur tour dedans.
1051,Gourlo le Terrible,70,https://api.dofusdb.fr/img/monsters/575.png,,
1071,Silf le Rasboul Majeur,110,https://api.dofusdb.fr/img/monsters/595.png,,"Quand le Rasboul a joué son premier tour de jeu, le retrait PA lui en donne. | À 14 PA, le Rasboul déclenche Hololole; il perd 50% résistance dans l'élément dans le quel il subit des dommages. | Les Rasbouls Mineurs qu'il invoque le recons en mêlée"
1072,Tynril Consterné,140,https://api.dofusdb.fr/img/monsters/596.png,,
1085,Tynril Déconcerté,140,https://api.dofusdb.fr/img/monsters/596.png,,
1086,Tynril Perfide,140,https://api.dofusdb.fr/img/monsters/596.png,,
1087,Tynril Ahuri,140,https://api.dofusdb.fr/img/monsters/596.png,,
1159,Ougah,180,https://api.dofusdb.fr/img/monsters/640.png,,
1179,Sapik,50,https://api.dofusdb.fr/img/monsters/476.png,,Ne peut être porté.. | Ne peut être poussé. | Ne peut échanger de position. | Ne peut utiliser un portail.
1184,Blop Coco Royal,60,https://api.dofusdb.fr/img/monsters/645.png,,
1185,Blop Griotte Royal,60,https://api.dofusdb.fr/img/monsters/646.png,,
1186,Blop Indigo Royal,60,https://api.dofusdb.fr/img/monsters/647.png,,
1187,Blop Reinette Royal,60,https://api.dofusdb.fr/img/monsters/648.png,,
1188,Blop Multicolore Royal,120,https://api.dofusdb.fr/img/monsters/649.png,,
1194,Père Fwetar,180,https://api.dofusdb.fr/img/monsters/651.png,Attire de3 casesen ligne | OSen mêlée,
2848,Mansot Royal,140,https://api.dofusdb.fr/img/monsters/769.png,,Invulnérable 🛡️ | Passe vulnérable lorsqu'un allié est soigné à son corps à corps. | Les personnages prennent des dommages si un allié est soigné à leur corps à corps. | Le Mansot Royal se boost en dommage et en vitalité quand vous tuez un monstre.
2854,Royalmouth,120,https://api.dofusdb.fr/img/monsters/775.png,,Invulnérable 🛡️ | Devient vulnérable lorsqu'il est poussé. | OSles personnages en ligne si il subit des dommages de poussée.
2864,Glourséleste,190,https://api.dofusdb.fr/img/monsters/785.png,,"Invulnérable 🛡️* | Subir des dommages de poussée tue vos personnages. | Le Retrait PM, PO et les déplacements sur le Glourséleste déclenchent Résuglours: le Boss réinvoque les monstres morts. | Le Glourséleste repousse de 4 cases les personnages à 3 cases ou moins en ligne lorsqu'il subid es dommages en mêlée | Le Glourséleste passe vulnérable pour le tour en cours après avoir subi un dommage en mêlée"
2877,Ben le Ripate,150,https://api.dofusdb.fr/img/monsters/794.png,,Invulnérable 🛡️ | Devient vulnérable lorsque le Hamrack explose à sa mêlée. Ce dernier rush sur le Ben si il peut l'atteindre. | Retirer des PM au Hamrack lui en donne.
2901,Bouflouth,120,https://api.dofusdb.fr/img/monsters/814.png,,
2902,Monsieur Pingouin,130,https://api.dofusdb.fr/img/monsters/815.png,,Tue les cibles sous l'état Gelé au tour suivant (1 PO)
2903,Katigrou,140,https://api.dofusdb.fr/img/monsters/816.png,,
2904,Fantômayte,150,https://api.dofusdb.fr/img/monsters/817.png,,
2905,Vengeuse Masquée,160,https://api.dofusdb.fr/img/monsters/529.png,,Gagne 50% résistance par retrait PO.
2906,YeCh'Ti,170,https://api.dofusdb.fr/img/monsters/760.png,,
2908,Dremoan,180,https://api.dofusdb.fr/img/monsters/818.png,,"Invulnérable 🛡️ | Devient vulnérable si un monstre est tué. Il sera ressuscité en Zombi, retué et transformé en Germe. | Si il n'y a pas de monstre, il faudra invoquer, attendre que Dremoan mette l'état Zombi sur l'invocation, qu'il l'a tue et la transforme en Germe."
2909,Flasho,190,https://api.dofusdb.fr/img/monsters/819.png,Attire en ligne à 6 PO | OS en mêlée,
2910,Viti Glourson,190,https://api.dofusdb.fr/img/monsters/820.png,,Gagne 100% résistances dans un élément aléatoire tous les 2 tours. | Gagne 50% résistances dans un élément lorsqu'il subit un dommage dans cet élément. | Soignes les monstres si vous le tuez. | Gagne 3 PA par monstre tué qui l'accompagne.
2924,Obsidiantre,160,https://api.dofusdb.fr/img/monsters/825.png,,Invulnérable 🛡️ | Devient vulnérable lorsqu'un allié est poussé sur lui. | La Pougnette explose et tue les personnages à plus de 7 cases d'elle au tour 5.
2942,Grolloum,190,https://api.dofusdb.fr/img/monsters/834.png,,Invulnérable 🛡️ | Le Grolloum réinvoque les monstres morts. | Le Boss passe vulnérable lorsqu'on tue un monstre réinvoqué sur lequel l'étatGelée Blancheest posé à son corps à corps. | Retirer des PM au Grolloum lui donne 8000 résistances.
2960,Kanniboul Ebil,60,https://api.dofusdb.fr/img/monsters/837.png,Invoque une poupée qui échange sa position avec un personnage lors de son apparition.,
2967,Tengu Givrefoux,170,https://api.dofusdb.fr/img/monsters/840.png,,Invulnérable 🛡️ | Ne peut être porté | Devient vulnérable lorsqu'on déclenche le Yomi et le Yokaï (le même tour ou sur 2 tours) | Yomi est déclenché en lui infligeant des dommages avec une arme lorsqu'il est aligné avec le Tengu | Yokai est déclenché lorsqu'il est poussé en diagonale du Tengu | Tengu peut OS en mêlée si seul le Yomi a été déclenché
2975,Boostache,40,https://api.dofusdb.fr/img/monsters/846.png,,
2986,Kolosso,190,https://api.dofusdb.fr/img/monsters/849.png,,"Invulnérable 🛡️ | Devient vulnérable après avoir subi les dommages d'une invocation (peut être une invocation statique:Bombe,Conquête,Cadran...)"
2992,Professeur Xa,190,https://api.dofusdb.fr/img/monsters/853.png,,
2995,Kwakwa,50,https://api.dofusdb.fr/img/monsters/854.png,,
3100,Nelween,70,https://api.dofusdb.fr/img/monsters/856.png,,
3142,Grozilla,400,https://api.dofusdb.fr/img/monsters/874.png,"Autour 6puis tous les 5 tours, si Grozilla et Grasmera ne sont pas à 2 PO ou moins l'un de l'autre,OS tous les personnages.",
3143,Grasmera,400,https://api.dofusdb.fr/img/monsters/875.png,"Autour 6puis tous les 5 tours, si Grozilla et Grasmera ne sont pas à 2 PO ou moins l'un de l'autre,OS tous les personnages.",
3234,Fuji Givrefoux Nourricière,190,https://api.dofusdb.fr/img/monsters/843.png,,
3238,Chafer Rōnin,40,https://api.dofusdb.fr/img/monsters/916.png,,
3306,Halouine,100,https://api.dofusdb.fr/img/monsters/937.png,,
3373,Glourdorak,200,https://api.dofusdb.fr/img/monsters/866.png,,"Invulnérable | OS les personnages au tour 11. | Finir en mêlée du Glourdorak avec un personnage dans l'état ""Fonso Cacnoob"" le rend vulnérable."
3384,Klime,220,https://api.dofusdb.fr/img/monsters/964.png,,
3391,Missiz Frizz,220,https://api.dofusdb.fr/img/monsters/970.png,,"Invulnérable 🛡️ | Pose des Glyphes autour de vos personnages à leur tour de jeu. Ces Glyphes déclenchent une poussée de 1 cases qui, sur votre nouvelle position, repoussent en ligne et en diagonale les monstres jusqu'à 6 cases. | Les Monstres et Missiz Frizz passent vulnérable 1 tour lorsqu'ils sont déplacés par les Glyphes ou qu'un monstre est poussé dans leur Ligne/Diagonale. | Les poussées sans délock soignent Missiz Frizz."
3397,Nileza,220,https://api.dofusdb.fr/img/monsters/976.png,,
3400,Docteur Eggob,190,https://api.dofusdb.fr/img/monsters/977.png,,
3401,Mekamouth,200,https://api.dofusdb.fr/img/monsters/978.png,,
3403,Chevalier de Glace,200,https://api.dofusdb.fr/img/monsters/980.png,Applique l'étatGelen mêlée | OS les ciblesGelées.,
3409,Sylargh,220,https://api.dofusdb.fr/img/monsters/986.png,,Invulnérable 🛡️ | Le Sylargh réinvoque les monstres morts. Ces derniers doivent être retués à 6 à 10 cases de lui pour que le Sylargh passe vulnérable. | Tuer le premier monstre réinvoqué tue les suivants. | Les personnages ayant plus de 90% de leur HP au moment de la mort d'un monstre réinvoqué passent Pacifistes.
3413,Psikopompe,200,https://api.dofusdb.fr/img/monsters/990.png,,
3416,Comte Harebourg,220,https://api.dofusdb.fr/img/monsters/993.png,,
3460,Wa Wobot,80,https://api.dofusdb.fr/img/monsters/1006.png,,"Ne peut être porté. | Invoque des Wobots Tamponneurs lorsqu'il frappe vos personnages. | Les Wobots Tamponneurs repoussent lorsqu'ils subissent des dommages de poussée. On peut alors créer un flippeur en plaçant les Monstres, dont le Wo Wobot, entre deux Tamponneurs alignés et en poussant l'adversaire à tuer sur l'un d'entre eux. | Les Tamponneurs peuvent se déclencher qu'une fois par tour."
3476,Maître des Pantins,400,https://api.dofusdb.fr/img/monsters/1019.png,,Invulnérable 🛡️ | Indéplaçable | Passe vulnérable pour2 tourslorsque toutes les Marionnette sont mortes.
3482,Dramak,100,https://api.dofusdb.fr/img/monsters/1025.png,,Invulnérable 🛡️ | Tuez sa Marionnette pour pouvoir la contrôler avec l'entité la plus proche de cette dernière. La marionnette passe le Dramak en vulnérable à 2 de PO de lui.
3524,Ali Grothor,130,https://api.dofusdb.fr/img/monsters/1047.png,,
3526,Exi Guman,30,https://api.dofusdb.fr/img/monsters/1049.png,,
3527,Gadoo,60,https://api.dofusdb.fr/img/monsters/1050.png,,Ne peut pas être poussé ni porté de tout le combat | Il réduit de 20000 les dégâts d'armes. | Se boost de 5% Résistance Feu et Air et de 20 Puissance mais perd -5% Résistance Terre et Eau par Dommages Terre subi
3528,Amy l'empoisonneuse,140,https://api.dofusdb.fr/img/monsters/1051.png,,
3533,Hyperscampe,200,https://api.dofusdb.fr/img/monsters/918.png,,Invulnérable | Devient vulnérable si 3 personnages sont placés sur 3 Glyphes Bleus pour 1 tour.
3534,Merkator,220,https://api.dofusdb.fr/img/monsters/1054.png,,
3556,Kanigroula,160,https://api.dofusdb.fr/img/monsters/1066.png,,
3564,Ombre,190,https://api.dofusdb.fr/img/monsters/1002.png,,Invulnérable 🛡️. | Lui et sa Silhouette ne peuvent être déplacé qu'une foispar tour. | Devient vulnérable siOmbre = Extérieur du GlypheetSilhouette = Dans le Glyphe
3618,Haute Truche,130,https://api.dofusdb.fr/img/monsters/1096.png,,Devientinvulnérable2 tours si elle subit des dommages avec un arme.
3648,Roi Nidas,220,https://api.dofusdb.fr/img/monsters/1106.png,,
3651,Phossile,150,https://api.dofusdb.fr/img/monsters/1108.png,"Au tour 5, le Phossile OS les personnages à 3 cases autour de lui.",
3652,Malléfisk,100,https://api.dofusdb.fr/img/monsters/1109.png,,
3668,Voldelor,200,https://api.dofusdb.fr/img/monsters/1125.png,,Le premier personnage qui lui inflige des dommages obtient l'étatMarque des Mangelors. | OS à 3 PO le personnage dansl'état Marque des Mangelors.
3669,Aigripoil,150,https://api.dofusdb.fr/img/monsters/1126.png,,
3670,Maxi-Malle,100,https://api.dofusdb.fr/img/monsters/1127.png,,
